specimen_id,species,variety,collection_date,collector,location,agb_kg,total_mass_kg,pot_mass_kg,height_mm,dbh_mm,canopy_width_mm,notes,legacy_id
M001,Mango,,2026-07-23,,,0.740,1.450,0.710,,,,pot_weight_source=estimated,
M002,Mango,,2026-07-23,,,1.200,2.050,0.850,,,,pot_weight_source=estimated,
M003,Mango,,2026-07-24,,,1.160,2.210,1.050,,,,pot_weight_source=estimated,
M004,Mango,,2026-07-24,,,0.710,1.360,0.650,,,,pot_weight_source=estimated,
M005,Mango,,2026-07-24,,,0.890,1.850,0.960,,,,pot_weight_source=estimated,
M006,Mango,,2026-07-24,,,1.110,2.010,0.900,,,,pot_weight_source=estimated,
M007,Mango,,2026-07-24,,,1.180,2.150,0.970,,,,pot_weight_source=estimated,
M008,Mango,,2026-07-24,,,0.560,1.160,0.600,,,,pot_weight_source=estimated,
M009,Mango,,2026-07-24,,,1.470,2.700,1.230,,,,pot_weight_source=estimated,
M010,Mango,,2026-07-24,,,1.200,2.350,1.150,,,,pot_weight_source=estimated,
E001,Eucalyptus,,2026-07-31,,,0.550,1.950,1.400,,,,pot_weight_source=estimated,
E002,Eucalyptus,,2026-07-31,,,0.600,1.800,1.200,,,,pot_weight_source=estimated,
E003,Eucalyptus,,2026-07-31,,,0.450,1.350,0.900,,,,pot_weight_source=estimated,
E004,Eucalyptus,,2026-07-31,,,0.700,1.750,1.050,,,,pot_weight_source=estimated,
E005,Eucalyptus,,2026-07-31,,,0.400,1.300,0.900,,,,pot_weight_source=estimated,
E006,Eucalyptus,,2026-07-31,,,0.510,1.500,0.990,,,,pot_weight_source=estimated,
E007,Eucalyptus,,2026-07-31,,,0.620,1.800,1.180,,,,pot_weight_source=estimated,
E008,Eucalyptus,,2026-07-31,,,0.700,1.880,1.180,,,,pot_weight_source=estimated,
E009,Eucalyptus,,2026-07-31,,,0.440,1.400,0.960,,,,pot_weight_source=estimated,
E010,Eucalyptus,,2026-07-31,,,0.410,1.150,0.740,,,,pot_weight_source=estimated,
E011,Eucalyptus,,2026-08-05,,,2.220,3.900,1.680,,,,pot_weight_source=estimated,
E012,Eucalyptus,,2026-08-05,,,1.250,2.750,1.500,,,,pot_weight_source=estimated,
E013,Eucalyptus,,2026-08-05,,,2.350,3.950,1.600,,,,pot_weight_source=estimated,
E014,Eucalyptus,,2026-08-05,,,1.800,3.350,1.550,,,,pot_weight_source=estimated,
E015,Eucalyptus,,2026-08-05,,,1.350,3.000,1.650,,,,pot_weight_source=estimated,
E016,Eucalyptus,,2026-08-05,,,1.500,3.200,1.700,,,,pot_weight_source=estimated,
E017,Eucalyptus,,2026-08-05,,,1.450,3.050,1.600,,,,pot_weight_source=estimated,
E018,Eucalyptus,,2026-08-05,,,1.680,3.250,1.570,,,,pot_weight_source=estimated,
E019,Eucalyptus,,2026-08-05,,,1.950,4.000,2.050,,,,pot_weight_source=estimated,
E020,Eucalyptus,,2026-08-05,,,1.950,4.150,2.200,,,,pot_weight_source=estimated,
V001,Eucalyptus,,2026-08-14,,,1.000,25.400,24.400,,,,pot_weight_source=measured pot weighed after shoot removal,
V002,Eucalyptus,,2026-08-14,,,0.500,23.700,23.200,,,,pot_weight_source=measured pot weighed after shoot removal,
V003,Eucalyptus,,2026-08-14,,,1.100,20.500,19.400,,,,pot_weight_source=measured pot weighed after shoot removal,
V004,Eucalyptus,,2026-08-14,,,1.800,32.200,30.400,,,,pot_weight_source=measured pot weighed after shoot removal,
V005,Eucalyptus,,2026-08-14,,,1.800,22.400,20.600,,,,pot_weight_source=measured pot weighed after shoot removal,
V006,Eucalyptus,,2026-08-14,,,1.000,22.300,21.300,,,,pot_weight_source=measured pot weighed after shoot removal,
V007,Eucalyptus,,2026-08-14,,,1.300,33.800,32.500,,,,pot_weight_source=measured pot weighed after shoot removal,
V008,Eucalyptus,,2026-08-14,,,0.600,22.300,21.700,,,,pot_weight_source=measured pot weighed after shoot removal,
V009,Eucalyptus,,2026-08-26,,,1.800,20.700,18.900,,,,pot_weight_source=estimated,
V010,Eucalyptus,,2026-08-26,,,3.200,31.900,28.700,,,,pot_weight_source=estimated,
V011,Eucalyptus,,2026-08-26,,,1.900,22.700,20.800,,,,pot_weight_source=estimated partial capture -- only 9 of 12 views (camB 270/300/330 missing),
